№;N;T max;T min;alpha;steps;Решено;Ср. энергия;Мин. энергия;Ср. число оценок;Ср. время, с
1;30;10.0;0.1;0.95;100;14/20;0.3;0;8048;0.05
2;30;10.0;0.1;0.8;100;4/20;1.05;0;2039;0.01
3;30;10.0;0.1;0.9;100;10/20;0.5;0;4197;0.03
4;30;10.0;0.1;0.98;100;20/20;0.0;0;18596;0.12
5;30;10.0;0.1;0.99;100;20/20;0.0;0;34658;0.23
6;30;10.0;0.1;0.95;10;1/20;1.55;0;894;0.01
7;30;10.0;0.1;0.95;30;9/20;0.7;0;2552;0.02
8;30;10.0;0.1;0.95;300;20/20;0.0;0;20883;0.14
9;30;10.0;0.1;0.95;1000;20/20;0.0;0;64127;0.42
10;30;0.5;0.1;0.95;100;15/20;0.25;0;2047;0.01
11;30;2.0;0.1;0.95;100;19/20;0.05;0;4785;0.03
12;30;30.0;0.1;0.95;100;17/20;0.15;0;10029;0.07
13;30;100.0;0.1;0.95;100;18/20;0.1;0;12477;0.08
14;30;10.0;0.01;0.95;100;20/20;0.0;0;7970;0.05
15;30;10.0;0.5;0.95;100;0/20;2.65;1;5900;0.04
16;30;10.0;1.0;0.95;100;0/20;4.65;3;4500;0.03
17;21;10.0;0.1;0.95;100;18/20;0.1;0;7353;0.04
18;40;10.0;0.1;0.95;100;14/20;0.3;0;8324;0.07
19;60;10.0;0.1;0.95;100;7/20;0.7;0;8780;0.11
20;30;30.0;0.5;0.98;100;0/20;2.1;1;20300;0.14
21;30;10.0;0.1;0.8;1000;20/20;0.0;0;17154;0.11
22;30;10.0;0.1;0.99;10;11/20;0.45;0;4208;0.03
