№;N;T max;T min;alpha;steps;Решено;Ср. энергия;Мин. энергия;Ср. число оценок;Ср. время, с
1;30;10.0;0.1;0.95;100;21/30;0.3;0;8207;0.06
2;30;10.0;0.1;0.8;100;4/30;1.13;0;2035;0.01
3;30;10.0;0.1;0.9;100;16/30;0.5;0;4205;0.03
4;30;10.0;0.1;0.98;100;30/30;0.0;0;18297;0.13
5;30;10.0;0.1;0.99;100;30/30;0.0;0;34345;0.24
6;30;10.0;0.1;0.95;10;1/30;1.73;0;898;0.01
7;30;10.0;0.1;0.95;30;12/30;0.6;0;2603;0.02
8;30;10.0;0.1;0.95;300;30/30;0.0;0;21770;0.15
9;30;10.0;0.1;0.95;1000;30/30;0.0;0;66537;0.47
10;30;0.5;0.1;0.95;100;24/30;0.2;0;2089;0.01
11;30;2.0;0.1;0.95;100;27/30;0.1;0;4778;0.03
12;30;30.0;0.1;0.95;100;27/30;0.1;0;10250;0.07
13;30;100.0;0.1;0.95;100;24/30;0.2;0;12330;0.08
14;30;10.0;0.01;0.95;100;30/30;0.0;0;8115;0.06
15;30;10.0;0.5;0.95;100;0/30;2.5;1;5900;0.04
16;30;10.0;1.0;0.95;100;0/30;4.77;3;4500;0.03
17;21;10.0;0.1;0.95;100;29/30;0.03;0;7159;0.04
18;40;10.0;0.1;0.95;100;18/30;0.47;0;8388;0.07
19;60;10.0;0.1;0.95;100;10/30;0.93;0;8757;0.11
20;30;30.0;0.5;0.98;100;0/30;2.03;1;20300;0.14
21;30;10.0;0.1;0.8;1000;30/30;0.0;0;17102;0.12
22;30;10.0;0.1;0.99;10;16/30;0.47;0;4309;0.03
